regcode,provcode,hhnum,member_code,agemos,current_fd_recall2,ever_bf2,ynotbf,duration_bf,colostrum,water,h2osug,am,juice,soup,othliq,solid,psurec,strrec,wgts
41,58,6249,5,0.85420942,6,0,5,99,9,99,99,99,99,99,99,99,5540,12020,3273.3799
3,54,1183,8,0.95277202,6,0,8,99,9,99,99,99,99,99,99,99,3325,25201,3448
13,74,4542,12,1.2484599,6,0,2,99,9,99,99,99,99,99,99,99,14655,12073,5115.8198
41,21,5956,4,1.7741272,6,0,88,99,9,99,99,99,99,99,99,99,4709,26124,3788.9099
41,34,5988,6,2.2997947,6,0,2,99,9,99,99,99,99,99,99,99,4791,11007,2329.04
5,5,1432,7,2.989733,6,0,2,99,9,99,99,99,99,99,99,99,6537,21311,2675.8
7,22,2488,6,3.0882959,6,0,8,99,9,99,99,99,99,99,99,99,9588,23124,2999.98
10,42,3529,8,3.0882959,6,0,5,99,9,99,99,99,99,99,99,99,12469,21110,2376
14,1,4933,10,3.1868584,6,0,2,99,9,99,99,99,99,99,99,99,15078,22213,1183.49
9,73,3263,9,3.2525668,6,0,2,99,9,99,99,99,99,99,99,99,11727,10004,2049.9399
2,31,575,7,3.5482545,6,0,1,99,9,99,99,99,99,99,99,99,1547,24214,2032
41,21,5972,5,3.8439424,6,0,2,99,9,99,99,99,99,99,99,99,4746,25125,3784.6599
9,73,3224,12,3.9425049,6,0,3,99,9,99,99,99,99,99,99,99,11624,22108,2378.3201
9,73,3259,7,4.2710476,6,0,1,99,9,99,99,99,99,99,99,99,11721,21211,2378.3201
12,80,4235,3,4.3039017,6,0,2,99,9,99,99,99,99,99,99,99,14007,21115,2164
41,21,5975,5,4.3367558,6,0,2,99,9,99,99,99,99,99,99,99,4760,25236,3782.54
13,74,4514,4,4.4681726,6,0,1,99,9,99,99,99,99,99,99,99,14615,12030,2228.6399
12,63,4065,5,4.9938397,7,0,5,99,9,99,99,99,99,99,99,99,13677,21004,2166
41,56,6182,11,5.3880906,7,0,3,99,9,99,99,99,99,99,99,99,5268,21112,3780.1001
3,14,911,3,5.4537988,7,0,2,99,9,99,99,99,99,99,99,99,2390,23120,3452
13,75,4751,3,5.5523615,6,0,1,99,9,99,99,99,99,99,99,99,14845,13040,1503.88
1,55,275,7,5.6837783,7,0,5,99,9,99,99,99,99,99,99,99,828,22120,2620
3,49,1080,7,6.2751541,6,0,2,99,9,99,99,99,99,99,99,99,3012,23223,3458
13,76,4857,8,6.5051336,7,0,4,99,9,99,99,99,99,99,99,99,14951,21012,3382
5,17,1500,3,6.9979463,7,0,6,99,9,99,99,99,99,99,99,99,6684,21220,2674
16,2,5429,4,7.2607803,7,0,2,99,9,99,99,99,99,99,99,99,16131,22214,1550
13,74,4481,5,7.2936344,7,0,1,99,9,99,99,99,99,99,99,99,14578,12038,5754.5801
3,54,1193,5,7.4907598,7,0,2,99,9,99,99,99,99,99,99,99,3325,25201,3448
13,74,4544,6,7.5236139,7,0,1,99,9,99,99,99,99,99,99,99,14655,12073,5115.8198
8,37,2859,4,7.8850098,7,0,4,99,9,99,99,99,99,99,99,99,10726,22016,2260
3,54,1178,2,7.983573,7,0,4,99,9,99,99,99,99,99,99,99,3323,23202,3448
13,74,4411,5,8.1149902,6,0,2,99,9,99,99,99,99,99,99,99,14527,12068,2850.71
13,74,4598,4,8.2792606,7,0,88,99,9,99,99,99,99,99,99,99,14667,12020,1055.5
13,75,4807,4,8.3449697,7,0,2,99,9,99,99,99,99,99,99,99,14870,22007,3388
13,75,4656,3,8.6078033,7,0,5,99,9,99,99,99,99,99,99,99,14764,25016,3385.98
41,10,5791,3,8.6406574,10,0,4,99,9,99,99,99,99,99,99,99,4121,23214,3562
41,34,6025,3,8.9691992,7,0,2,99,9,99,99,99,99,99,99,99,4845,21407,3560
42,53,6623,5,9.0677624,10,0,2,99,9,99,99,99,99,99,99,99,6099,10002,842.03998
42,53,6604,12,9.2977409,7,0,2,99,9,99,99,99,99,99,99,99,6093,22102,1766
13,74,4456,3,9.4620123,7,0,3,99,9,99,99,99,99,99,99,99,14561,12043,1049.4399
41,21,5886,6,9.5605755,7,0,2,99,9,99,99,99,99,99,99,99,4423,22130,3566
5,62,1772,4,9.6262836,6,0,2,99,9,99,99,99,99,99,99,99,7443,21206,2674
1,55,232,8,9.7248459,7,0,8,99,9,99,99,99,99,99,99,99,728,27301,2629.98
3,54,1097,6,9.790554,7,0,2,99,9,99,99,99,99,99,99,99,3057,21010,3450
13,76,4849,4,10.250513,7,0,2,99,9,99,99,99,99,99,99,99,14933,11032,2729.78
13,75,4637,5,10.513347,7,0,2,99,9,99,99,99,99,99,99,99,14727,22003,3385.98
13,76,4891,7,10.710472,10,0,8,99,9,99,99,99,99,99,99,99,15046,11036,3173.3
42,53,6653,4,10.907598,7,0,4,99,9,99,99,99,99,99,99,99,6151,22203,1764
8,64,3050,7,11.071869,7,0,2,99,9,99,99,99,99,99,99,99,11238,23006,2256
3,49,1014,9,11.071869,7,0,5,99,9,99,99,99,99,99,99,99,2737,21225,3454
3,8,802,7,11.301848,7,0,5,99,9,99,99,99,99,99,99,99,2119,21115,3460
8,48,2924,9,12.024641,7,0,2,99,9,99,99,99,99,99,99,99,10899,21126,2256
13,76,4896,5,12.024641,10,0,2,99,9,99,99,99,99,99,99,99,15049,11009,1991.74
3,54,1150,5,12.123203,7,0,5,99,9,99,99,99,99,99,99,99,3301,24103,3460
41,21,5941,9,12.188911,7,0,3,99,9,99,99,99,99,99,99,99,4707,27125,3797.4099
13,76,4854,6,12.550308,7,0,2,99,9,99,99,99,99,99,99,99,14945,11018,3835.72
15,36,5207,9,12.845996,8,0,8,99,9,99,99,99,99,99,99,99,15419,22220,1871.98
41,21,5936,3,13.043121,7,0,2,99,9,99,99,99,99,99,99,99,4698,21202,3570
3,8,801,5,13.207392,7,0,5,99,9,99,99,99,99,99,99,99,2119,21115,3460
3,54,1214,5,13.305956,7,0,7,99,9,99,99,99,99,99,99,99,3365,24211,3448
3,54,1190,7,13.371663,7,0,8,99,9,99,99,99,99,99,99,99,3325,25201,3448
13,76,4845,11,13.371663,10,0,1,99,9,99,99,99,99,99,99,99,14934,11045,2566.9199
13,74,4392,3,13.50308,7,0,3,99,9,99,99,99,99,99,99,99,14514,21012,3390
3,71,1340,5,13.995893,7,0,1,99,9,99,99,99,99,99,99,99,3705,23038,3456
12,80,4231,8,14.390144,8,0,1,99,9,99,99,99,99,99,99,99,13995,22108,2174
1,55,270,6,14.587269,7,0,5,99,9,99,99,99,99,99,99,99,825,22332,2631.98
42,59,6698,7,14.784395,7,0,2,99,9,99,99,99,99,99,99,99,6253,22102,1771.98
13,75,4767,5,14.784395,10,0,2,99,9,99,99,99,99,99,99,99,14849,13045,3079.0801
3,54,1148,6,14.784395,7,0,2,99,9,99,99,99,99,99,99,99,3301,24103,3460
12,63,4123,3,14.817247,10,0,1,99,9,99,99,99,99,99,99,99,13713,22220,2164
13,74,4593,5,14.882957,7,0,2,99,9,99,99,99,99,99,99,99,14667,12020,1055.5
1,55,288,3,14.948665,10,0,4,99,9,99,99,99,99,99,99,99,851,25230,2629.98
13,74,4505,5,14.98152,7,0,3,99,9,99,99,99,99,99,99,99,14615,12030,2228.6399
41,21,5946,5,15.080082,10,0,88,99,9,99,99,99,99,99,99,99,4707,27125,3797.4099
5,5,1434,7,15.507187,7,0,3,99,9,99,99,99,99,99,99,99,6537,21311,2675.8
5,17,1640,5,15.77002,7,0,8,99,9,99,99,99,99,99,99,99,7102,23105,2679.98
7,22,2472,6,15.802875,7,0,2,99,9,99,99,99,99,99,99,99,9534,21104,3002
41,21,5829,6,15.802875,7,0,2,99,9,99,99,99,99,99,99,99,4306,24220,3570
11,24,3809,9,16,7,0,3,99,9,99,99,99,99,99,99,99,13067,12013,4403.7402
13,74,4597,7,16.032854,7,0,2,99,9,99,99,99,99,99,99,99,14667,12020,1055.5
42,59,6666,7,16.22998,7,0,88,99,9,99,99,99,99,99,99,99,6219,21117,1772
41,21,5971,5,17.01848,7,0,88,99,9,99,99,99,99,99,99,99,4746,25125,3784.6599
3,8,808,3,17.215607,10,0,3,99,9,99,99,99,99,99,99,99,2119,21115,3460
3,49,997,7,17.215607,10,0,2,99,9,99,99,99,99,99,99,99,2664,21118,3456
12,63,4076,4,17.609856,7,0,1,99,9,99,99,99,99,99,99,99,13678,10008,2065.28
5,17,1623,8,17.839836,10,0,2,99,9,99,99,99,99,99,99,99,7047,21116,2681.98
5,17,1623,7,17.839836,10,0,2,99,9,99,99,99,99,99,99,99,7047,21116,2681.98
1,55,232,10,17.938398,10,0,2,99,9,99,99,99,99,99,99,99,728,27301,2629.98
3,14,853,7,18.102669,10,0,2,99,9,99,99,99,99,99,99,99,2212,22318,3464
3,69,1241,3,18.168379,7,0,6,99,9,99,99,99,99,99,99,99,3446,22132,3472
13,74,4495,3,18.201231,10,0,2,99,9,99,99,99,99,99,99,99,14602,12056,2086.78
42,52,6535,3,18.299795,7,0,4,99,9,99,99,99,99,99,99,99,5912,22313,1876.49
13,75,4627,9,18.332649,7,0,2,99,9,99,99,99,99,99,99,99,14727,22003,3385.98
41,56,6159,3,18.759754,7,0,5,99,9,99,99,99,99,99,99,99,5245,23213,3777.98
7,22,2483,3,19.186859,10,0,8,99,9,99,99,99,99,99,99,99,9588,23124,2999.98
13,74,4514,3,19.5154,7,0,1,99,9,99,99,99,99,99,99,99,14615,12030,2228.6399
41,58,6375,5,19.548254,7,0,2,99,9,99,99,99,99,99,99,99,5644,12003,1281.62
3,71,1305,6,19.613964,10,0,2,99,9,99,99,99,99,99,99,99,3664,21038,3454
12,65,4200,5,19.778234,8,0,2,99,9,99,99,99,99,99,99,99,13848,22101,2170
41,58,6249,4,19.975359,10,0,2,99,9,99,99,99,99,99,99,99,5540,12020,3273.3799
13,76,4831,5,20.008213,8,0,2,99,9,99,99,99,99,99,99,99,14916,11039,5020.3398
3,14,825,3,20.336756,7,0,2,99,9,99,99,99,99,99,99,99,2175,24120,3448
11,82,3905,5,20.59959,7,0,1,99,9,99,99,99,99,99,99,99,13361,22405,2384
3,54,1193,4,20.632442,8,0,2,99,9,99,99,99,99,99,99,99,3325,25201,3448
41,21,5978,3,20.665298,7,0,3,99,9,99,99,99,99,99,99,99,4760,25236,3782.54
13,74,4559,10,21.420944,7,0,2,99,9,99,99,99,99,99,99,99,14666,12066,936.62
13,76,4887,7,21.716633,10,0,2,99,9,99,99,99,99,99,99,99,15040,21003,1692
8,60,3027,13,0,1,1,99,77,1,99,99,99,99,99,99,99,11158,23211,2265.98
1,28,10,4,0.032854211,1,1,99,77,1,99,99,99,99,99,99,99,17,22128,2636
3,49,1069,9,0.065708421,2,1,99,77,0,0,99,99,99,99,99,99,2991,25237,3460
15,38,5263,13,0.065708421,1,1,99,77,1,99,99,99,99,99,99,99,15676,23116,1876
9,83,3313,4,0.098562628,1,1,99,77,1,99,99,99,99,99,99,99,11936,21220,2450.6499
2,31,681,9,0.16427104,4,1,99,77,1,99,99,99,99,99,99,99,1792,25219,2034
16,3,5549,10,0.16427104,1,1,99,77,1,99,99,99,99,99,99,99,16327,10008,1057.5601
6,45,2164,5,0.16427104,1,1,99,77,0,99,99,99,99,99,99,99,8731,24416,2978
2,15,547,5,0.16427104,1,1,99,77,0,99,99,99,99,99,99,99,1456,24318,2024
42,52,6498,10,0.19712526,1,1,99,77,1,99,99,99,99,99,99,99,5848,23106,1865.92
12,63,4086,4,0.19712526,4,1,99,77,1,99,99,99,99,99,99,99,13681,22004,2172
11,25,3850,3,0.22997946,1,1,99,77,0,99,99,99,99,99,99,99,13228,22307,2384
3,54,1094,6,0.22997946,4,1,99,77,1,99,99,99,99,99,99,99,3057,21010,3450
13,74,4551,4,0.26283368,4,1,99,77,1,99,99,99,99,99,99,99,14666,12066,468.31
8,26,2767,4,0.26283368,1,1,99,77,1,99,99,99,99,99,99,99,10401,22109,2260
11,23,3627,8,0.26283368,1,1,99,77,1,99,99,99,99,99,99,99,12864,21101,2379.98
5,17,1598,10,0.29568788,1,1,99,77,1,99,99,99,99,99,99,99,6959,21017,2675.98
8,64,3050,6,22.308008,7,0,2,99,9,99,99,99,99,99,99,99,11238,23006,2256
6,45,2175,4,0.32854208,4,1,99,77,0,0,99,99,99,99,99,99,8757,23323,2978
41,34,6078,6,0.32854208,2,1,99,77,1,0,99,99,99,99,99,99,4971,24326,3576
14,81,5161,10,0.36139631,1,1,99,77,1,99,99,99,99,99,99,99,15348,22013,1102
41,10,5719,7,0.36139631,4,1,99,77,1,0,33,99,99,99,99,99,3921,21303,3560
9,73,3208,8,0.36139631,1,1,99,77,1,99,99,99,99,99,99,99,11545,23118,2378.3201
41,10,5719,6,0.36139631,4,1,99,77,1,0,33,99,99,99,99,99,3921,21303,3560
1,33,150,7,0.39425051,2,1,99,77,1,0,99,99,99,99,99,99,497,21109,2640
10,43,3559,4,0.39425051,4,1,99,77,1,99,99,99,99,99,99,99,12589,10003,4952.2798
6,45,2113,4,0.39425051,4,1,99,77,1,0,99,99,99,99,99,99,8607,21218,2974
15,36,5207,10,0.42710471,1,1,99,77,1,99,99,99,99,99,99,99,15419,22220,1871.98
15,36,5229,12,0.42710471,4,1,99,77,1,99,99,99,99,99,99,99,15569,21312,1876
1,55,179,5,0.42710471,1,1,99,77,1,99,99,99,99,99,99,99,580,23315,2629.98
5,41,1677,5,0.45995891,4,1,99,77,1,0,99,99,99,99,99,99,7202,22122,2676
8,48,2953,10,0.45995891,1,1,99,77,1,99,99,99,99,99,99,99,10954,22214,2261.98
14,1,4916,3,22.472279,8,0,2,99,9,99,99,99,99,99,99,99,15061,21107,1185.61
42,51,6453,5,0.49281311,1,1,99,77,1,99,99,99,99,99,99,99,5777,21201,1759.98
1,33,136,5,0.49281311,1,1,99,77,1,99,99,99,99,99,99,99,448,22219,2626
2,31,709,7,0.49281311,1,1,99,77,0,99,99,99,99,99,99,99,1852,21013,2032
3,49,990,4,0.52566737,4,1,99,77,1,99,99,99,99,99,99,99,2664,21118,3456
3,49,990,3,0.52566737,1,1,99,77,1,99,99,99,99,99,99,99,2664,21118,3456
13,39,4320,10,0.52566737,4,1,99,77,1,99,99,99,99,99,99,99,14120,13015,2498.1799
9,72,3141,5,0.55852157,1,1,99,77,1,99,99,99,99,99,99,99,11418,24212,2260
11,23,3685,4,0.59137577,1,1,99,77,1,99,99,99,99,99,99,99,12901,23616,2386
8,26,2735,7,0.59137577,1,1,99,77,1,99,99,99,99,99,99,99,10292,22217,2272
11,24,3720,3,0.62422997,1,1,99,77,1,99,99,99,99,99,99,99,12978,23504,2392
12,63,4091,7,0.65708417,4,1,99,77,1,0,99,99,99,99,99,99,13681,22004,2172
11,24,3703,5,0.68993843,4,1,99,77,1,99,99,99,99,99,99,99,12961,12007,4140.48
3,8,807,3,0.72279263,2,1,99,77,0,0,99,99,99,99,99,99,2119,21115,3460
6,19,1878,4,0.72279263,1,1,99,77,1,99,99,99,99,99,99,99,7793,21206,2974
1,55,338,6,0.75564682,4,1,99,77,1,99,99,99,99,99,99,99,1044,26107,2642
7,22,2512,3,0.75564682,4,1,99,77,1,99,99,99,99,99,99,99,9678,21104,3000
8,26,2757,5,0.78850102,1,1,99,77,1,99,99,99,99,99,99,99,10401,22109,2260
3,49,987,7,0.82135522,4,1,99,77,1,99,99,99,99,99,99,99,2675,24205,3454
13,75,4635,4,0.82135522,1,1,99,77,1,99,99,99,99,99,99,99,14727,22003,3385.98
14,81,5163,6,0.82135522,1,1,99,77,1,99,99,99,99,99,99,99,15348,22013,1102
7,12,2331,5,0.85420942,1,1,99,77,0,99,99,99,99,99,99,99,9267,24222,3005.98
16,2,5454,3,0.91991782,4,1,99,77,1,0,99,99,99,99,99,99,16115,21209,1552
10,13,3398,16,0.95277202,1,1,99,77,1,99,99,99,99,99,99,99,12165,23103,2383.98
15,38,5252,5,0.95277202,1,1,99,77,1,99,99,99,99,99,99,99,15676,23116,1876
3,54,1127,7,0.95277202,4,1,99,77,1,99,99,99,99,99,99,99,3108,22221,3456
7,22,2483,4,0.98562622,2,1,99,77,1,0,33,99,99,99,99,99,9588,23124,2999.98
10,42,3544,3,1.1170431,1,1,99,77,1,99,99,99,99,99,99,99,12538,21327,2370
42,59,6685,4,1.1498973,1,1,99,77,1,99,99,99,99,99,99,99,6232,22204,1765.98
6,45,2137,9,1.1498973,1,1,99,77,1,99,99,99,99,99,99,99,8662,24122,2978
3,49,986,4,1.1827515,1,1,99,77,1,99,99,99,99,99,99,99,2675,24205,3454
3,14,878,5,1.1827515,4,1,99,77,1,1,99,99,99,99,99,99,2293,22417,3458
13,75,4667,6,1.2484599,4,1,99,77,1,0,99,99,99,99,99,99,14805,13020,1023.58
13,75,4715,6,23.26078,10,0,2,99,9,99,99,99,99,99,99,99,14832,21002,3386
13,74,4404,3,1.2813141,4,1,99,77,0,99,99,99,99,99,99,99,14527,12068,2850.71
41,56,6168,4,23.293634,10,0,2,99,9,99,99,99,99,99,99,99,5268,21112,3780.1001
6,6,1862,5,1.3141683,1,1,99,77,1,99,99,99,99,99,99,99,7703,23013,2988
8,37,2811,7,1.3470227,1,1,99,77,1,99,99,99,99,99,99,99,10574,26124,2254
16,67,5580,5,1.3470227,1,1,99,77,1,99,99,99,99,99,99,99,16359,22119,1556
1,29,71,3,23.359343,7,0,4,99,9,99,99,99,99,99,99,99,292,22224,2644
7,46,2673,3,1.3798769,1,1,99,77,1,99,99,99,99,99,99,99,10019,22216,3002
15,70,5396,4,1.3798769,1,1,99,77,1,99,99,99,99,99,99,99,16012,21113,1875.98
10,13,3397,4,1.4127311,1,1,99,77,1,99,99,99,99,99,99,99,12165,23103,2383.98
13,39,4279,5,1.4127311,2,1,99,77,0,1,99,99,99,99,99,99,14098,21214,3385.98
11,24,3817,3,1.4455853,2,1,99,77,1,0,99,99,99,99,99,99,13071,22314,2396
7,22,2494,8,1.4455853,4,1,99,77,1,99,99,99,99,99,99,99,9638,21302,2991.98
7,22,2383,7,1.5112936,2,1,99,77,1,1,99,99,99,99,99,99,9409,26232,2999.98
12,65,4197,7,1.5112936,2,1,99,77,1,1,99,99,99,99,99,99,13848,22101,2170
10,13,3416,10,1.544148,4,1,99,77,1,0,99,99,99,99,99,99,12182,10011,2647.6599
41,56,6210,5,1.544148,1,1,99,77,1,99,99,99,99,99,99,99,5357,22207,3784.3301
6,30,1970,3,23.556469,10,0,5,99,9,99,99,99,99,99,99,99,8214,22004,2978
14,81,5167,5,1.6427104,1,1,99,77,1,99,99,99,99,99,99,99,15348,22013,1102
41,56,6188,7,1.6427104,5,1,99,77,1,0,0,99,99,99,99,99,5305,21008,3775.8601
7,22,2414,7,1.6755648,1,1,99,77,1,99,99,99,99,99,99,99,9425,26134,2992
14,44,5140,4,1.7084188,4,1,99,77,1,99,99,99,99,99,99,99,15397,23005,1098
3,49,1031,4,1.7741272,1,1,99,77,1,99,99,99,99,99,99,99,2909,26221,3452
2,31,707,8,1.7741272,1,1,99,77,1,99,99,99,99,99,99,99,1852,21013,2032
3,49,1033,8,1.7741272,1,1,99,77,1,99,99,99,99,99,99,99,2909,26221,3452
11,82,3923,8,23.819302,7,0,5,99,9,99,99,99,99,99,99,99,13394,21112,2394
13,75,4635,3,23.852158,10,0,5,99,9,99,99,99,99,99,99,99,14727,22003,3385.98
41,21,5905,8,1.87269,1,1,99,77,1,99,99,99,99,99,99,99,4535,21112,3564
10,43,3570,10,1.87269,1,1,99,77,1,99,99,99,99,99,99,99,12634,23104,2372
2,57,772,5,1.87269,5,1,99,77,1,0,0,99,99,99,99,99,2036,21015,2024
9,72,3171,5,1.87269,2,1,99,77,1,0,99,99,99,99,99,99,11490,25206,2258
13,75,4750,5,1.905544,1,1,99,77,1,99,99,99,99,99,99,99,14845,13040,1503.88
11,23,3633,5,1.905544,2,1,99,77,1,0,99,99,99,99,99,99,12854,22305,2394
11,24,3699,4,1.905544,4,1,99,77,1,99,99,99,99,99,99,99,12907,21213,2379.98
15,66,5361,8,1.9712524,4,1,99,77,1,99,99,99,99,99,99,99,15869,22208,1881.98
12,47,3975,6,1.9712524,1,1,99,77,1,99,99,99,99,99,99,99,13488,22207,2170
15,66,5361,9,1.9712524,4,1,99,77,1,99,99,99,99,99,99,99,15869,22208,1881.98
15,66,5358,13,2.0041068,3,1,99,77,1,99,99,99,99,99,99,2,15859,23206,1876
5,5,1401,3,2.0041068,1,1,99,77,0,99,99,99,99,99,99,99,6392,23216,2678
5,5,1368,3,2.1026695,1,1,99,77,1,99,99,99,99,99,99,99,6317,21227,2674
15,38,5307,7,2.1026695,1,1,99,77,1,99,99,99,99,99,99,99,15761,23213,1883.98
14,11,4994,6,2.1355238,4,1,99,77,1,0,99,99,99,99,99,99,15132,21205,1100
1,33,113,4,2.201232,2,1,99,77,1,1,99,99,99,99,99,99,371,22117,2646
6,45,2176,7,2.2340863,4,1,99,77,1,0,99,99,99,99,99,99,8757,23323,2978
5,41,1703,5,2.2669406,1,1,99,77,1,99,99,99,99,99,99,99,7295,23206,2676
8,60,3029,5,2.2669406,1,1,99,77,1,99,99,99,99,99,99,99,11158,23211,2265.98
8,37,2919,9,2.2997947,1,1,99,77,1,99,99,99,99,99,99,99,10820,21113,2260
14,32,5091,9,2.2997947,2,1,99,77,1,2,99,99,99,99,99,99,15303,21004,1098
42,51,6443,9,2.3326488,1,1,99,77,0,99,99,99,99,99,99,99,5768,21313,1766
15,7,5191,6,2.3655031,2,1,99,77,1,1,99,99,99,99,99,99,16079,21123,1878
6,30,2016,5,2.3983574,2,1,99,77,1,2,99,99,99,99,99,99,8330,25130,2986
42,53,6647,5,2.4312115,4,1,99,77,1,99,99,99,99,99,99,99,6151,22203,1764
11,24,3749,8,2.4312115,4,1,99,77,1,1,99,99,99,99,99,99,12993,12003,2666.8601
5,17,1626,4,2.4640656,4,1,99,77,1,99,99,99,99,99,99,99,7047,21116,2681.98
16,67,5579,5,2.4640656,1,1,99,77,1,99,99,99,99,99,99,99,16359,22119,1556
16,67,5614,3,2.4969199,2,1,99,77,1,2,99,99,99,99,99,99,16443,21203,1548
5,62,1765,6,2.5954823,1,1,99,77,1,99,99,99,99,99,99,99,7443,21206,2674
13,74,4413,4,2.661191,1,1,99,77,1,99,99,99,99,99,99,99,14536,12024,4406.5898
11,24,3780,5,2.6940453,4,1,99,77,1,1,99,99,99,99,99,99,13012,21209,2384
16,2,5459,13,2.7268994,2,1,99,77,1,2,99,99,99,99,99,99,16197,21211,1552
15,38,5238,4,2.7268994,1,1,99,77,1,99,99,99,99,99,99,99,15671,25115,1878
8,64,3065,8,2.7268994,2,1,99,77,1,1,99,99,99,99,99,99,11274,21020,2264
42,40,6406,4,2.7268994,1,1,99,77,1,99,99,99,99,99,99,99,5675,21003,1767.98
2,15,464,5,2.7597537,1,1,99,77,1,99,99,99,99,99,99,99,1330,23208,2032
7,12,2337,6,2.8254621,1,1,99,77,1,99,99,99,99,99,99,99,9267,24222,3005.98
5,41,1711,5,2.8254621,1,1,99,77,1,99,99,99,99,99,99,99,7306,23111,2673.98
41,10,5790,3,2.9240246,3,1,99,77,1,2,99,99,99,99,99,2,4121,23214,3562
6,4,1825,5,2.989733,2,1,99,77,1,1,99,99,99,99,99,99,7501,21022,2986
2,15,440,5,3.0225873,4,1,99,77,1,1,99,99,99,99,99,99,1305,22117,2024
12,63,4029,5,3.0882959,1,1,99,77,1,99,99,99,99,99,99,99,13666,23302,2173.98
8,60,2986,6,3.1868584,1,1,99,77,1,99,99,99,99,99,99,99,11029,22132,2264
